module_code,module_name,module_type,hl_name,resources,semester,l_d_uni_email,start_time,end_time,day
ITC1013,Mathematics (I),,,,,,,,
ITC1023,Physics for Technology,,,,,,,,
ITC1032,Principles of Statistics,,,,,,,,
ITC1052,Software Engineering(I),,,,,,,,
ITC1063,Fundamentals of Programming,,,,,,,,
ITC1082,Communication Skills (I)/English,,,,,,,,
ITC1091,Ethical Conduct of Learners*,,,,,,,,
ITC1142,Computer Organization and Architecture,,,,,,,,
ITC1102 ,Mathematics (II),,,,,,,,
ITC1112 ,Statistical Methods,,,,,,,,
ITC1153,Object Oriented Analysis and Design,,,,,,,,
ITC1163 ,Database Systems,,,,,,,,
ITC1172 ,Communication Skills (II)/English,,,,,,,,
ITC1181 ,Personality Development*,,,,,,,,
ITC1233 ,Object Oriented Programming,,,,,,,,
ITC2192, Mathematics for ICT,,,,,,,,
ITC2212 ,Data Structures and Algorithms,,,,,,,,
ITC2243 ,Networking Essentials,,,,,,,,
ITC2272 ,Operating Systems,,,,,,,,
ITC2303 ,Visual Application Programming,,,,,,,,
ITC2342 ,Fundamentals of Multimedia,,,,,,,,
ITC2242 ,Economics and Financial Management,,,,,,,,
ITC2223 ,Web Application Development,,,,,,,,
ITC2252, Introduction to Machine Learning,,,,,,,,
ITC2282 ,Advanced Data Structures and Algorithms,,,,,,,,
ITC2292 ,Digital Control Systems Technology,,,,,,,,
ITC2302 ,Network Systems Design,,,,,,,,
ITC2353 ,Introduction to Graphic Design,,,,,,,,
ITC3013 ,Service Oriented Architecture and Web Services,,,,,,,,
ITC3023 ,Human Computer Interaction,,,,,,,,
ITC3032 ,Literature Study and Presentation,,,,,,,,
ITC3052 ,Project Management,,,,,,,,
ITC3071, Professional Ethics*,,,,,,,,
ITC3561, ICT Project,,,,,,,,
ITM3052 ,Video Production Techniques,,,,,,,,
ITM3062 ,Audio Production Techniques,,,,,,,,
ITM3232 ,Image Processing,,,,,,,,
ITN3043,Advanced Database Systems,,,,,,,,
ITN3052,Advanced Networking,,,,,,,,
ITN3132,Wireless Communication,,,,,,,,
ITS3043 ,Advanced Database Systems,,,,,,,,
ITS3551 ,Software Engineering (II),,,,,,,,
ITC3082 ,Research Methods and Technical Writing,,,,,,,,
ITC3093 ,Computer Security,,,,,,,,
ITC3113 ,Software Quality Assurance,,,,,,,,
ITC3122 ,Mobile Application Development,,,,,,,,
ITM3072 ,Gaming Technology,,,,,,,,
ITM3132 ,3D Modeling,,,,,,,,
ITM3142 ,Digital Marketing,,,,,,,,
ITN3102, System Administration,,,,,,,,
ITN3152,Advanced Mobile Technologies,,,,,,,,
ITN3162,Distributed Networks,,,,,,,,
ITS3102 ,System Administration,,,,,,,,
ITS3142 ,Software Deployment and Evolution,,,,,,,,
ITS3173 ,Data Mining and Warehousing,,,,,,,,
ITC4156 ,Industrial Training/Internship,,,,,,,,
ITC4166 ,Research Project,,,,,,,,
ITC4166 ,Research Project (Continued),,,,,,,,
ITC4172 ,Entrepreneurship and Small Business Management,,,,,,,,
ITC4182,Professional Practices in ICT,,,,,,,,
ITC 4212 ,Information Systems Strategy and IT Governance,,,,,,,,
ITM4213 ,Immersive Technologies,,,,,,,,
ITM4282 ,Animation Technology,,,,,,,,
ITN4252 ,Advanced Topics in Networking,,,,,,,,
ITN4272 ,Network Security,,,,,,,,
ITS4243 ,Microservices and Cloud Computing,,,,,,,,
ITS4202 ,Emerging Technologies,,,,,,,,
